Project ID,Project,Project Manager,Organization,Region,Plan Start,Plan Finish, OD ,AD,BAC,Foreign,AC,ETC
A34384,Construction of South Punjab Secretariat & GOR At Bahawalpur and Multan ,Infrastructure Development Authority Punjab (IDAP),S&GAD SPb,South Single,11/02/2021,30/06/2025,52,52,7407.03,0,3522.37,3884.65
A36267,Establishment of University of Gujranwala,Higher Education Department,Higher Education Department,North Single,22/08/2023,30/06/2026,34,22,5299.71,0,1335.59,3964.12
A58096,"CM Lahore Development Program, Nishter Zone-II.",WASA Lahore,HUD&PHED,North Single,01/07/2024,30/06/2026,23,11,7901,0,3915,3986
A55972,Aquaculture: Shrimp Farming in Punjab.,"Communication & Works Department, Fisheries","Forestry,WildLife,Fisheries",Multiple Region,01/07/2024,29/06/2028,47,11,5010.35,0,896.92,4113.43
A57384,Chief Minister Punjab Free Solar Panel Scheme,Energy Department,Energy Department,Punjab Based,01/07/2024,30/09/2025,14,11,9975.39,0,5772.84,4202.55
A56186,"Rehabilitation / Improvement of Sahiwal – Arifwala - Bahawalnagar Road, (Section District Pakpattan) Length = 40.25 Km in District Pakpattan. ",Communication & Works Department,Communication & Works Department,North Single,01/07/2024,30/06/2027,35,11,7648.03,0,3338,4310.03
A59201,North Punjab Non-Formal Education Project,Literacy & Non Formal Basic Education,Literacy & Non Formal Basic Education,North Single,01/11/2024,31/10/2027,35,7,5299.14,0,972.04,4327.1
A59027,"Reconstruction/ Rehabilitation of GT road from Quaid-e-Azam Interchange (Lahore Ring Road) to Wahga Border, District Lahore",Communication & Works Department,Government of Punjab,North Single,15/08/2024,30/06/2027,34,10,7129.21,0,2800,4329.21
A45184,"Establishment of Mir Chakar Khan Rind University of Technology, Dera Ghazi Khan","Communication & Works Department, Industries, Commerce & Investment","Industries, Commerce & Investment",South Single,01/07/2022,30/06/2026,47,35,4639.23,0,273,4366.23
A58095,"CM Lahore Development Program, Nishter Zone-I.",WASA Lahore,HUD&PHED,North Single,30/09/2024,30/06/2026,21,9,8000,0,3476,4524
A65395,"Specialized Medical Equipment for Jinnah Institute of Cardiology, Lahore",Infrastructure Development Authority Punjab (IDAP),Specialized Healthcare and Medical Education Department,North Single,01/12/2024,17/03/2026,15,6,6889.16,0,2333.6,4555.56
A55619,"Dualization of Faisalabad Chiniot Sargodha road from Kamalpur Interchange to Tehsil chowk Chiniot, District Faisalabad & Chiniot Length 24.00 Km.",Communication & Works Department,Communication & Works Department,North Single,01/03/2024,30/06/2026,27,15,7575.43,0,3000,4575.43
A58091,"CM Lahore Development Program, Ravi Zone-I.",WASA Lahore,HUD&PHED,North Single,30/09/2024,30/06/2026,21,9,7800,0,3147,4653
A35606,"Establishment of Public Financial Management Unit (PFMU), Finance Department & Program Support Unit (PSU) Planning & Development Board under Punjab Resource Improvement and Digital Effectiveness (PRIDE)-TA Component","Finance Department, Planning & Development Board, Punjab","Planning & Development Board, Punjab",Punjab Based,01/07/2021,30/06/2025,47,47,4968.6,4969,253.77,4714.83
A57897,Program for Revamping of BHUs of North and Central Punjab (Phase-II),"Communication & Works Department, Health & Population Department",Health & Population Department,Punjab Based,01/07/2024,30/06/2026,23,11,9594.42,0,4797.21,4797.21
A06822,Upscaling of Green Pakistan Program,"Forestry, Wildlife & Fisheries",Government of Punjab,Punjab Based,01/07/2016,30/06/2028,143,107,13187.63,0,8287.63,4900
A49249,"Construction/ Widening / Improvement of Road from Hafizabad to Gujrat via Head Khanki along L.C.C Mian Canal, Length = 45.00 Km, District Hafizabad & Gujranwala ",Roads,Roads,North Single,21/11/2022,30/06/2026,43,31,8296.55,0,3322.36,4974.2
A59877,"Rehabilitation / Improvement of Roads, Streets (P.C.C.), Sewerage / Drainage and M&R of Street Lights, Nishtar-I Zone MC Lahore",LG&CD Department,LG&CD Department,North Single,01/07/2024,30/06/2026,23,11,8000,0,3000,5000
A56123,Rehabilitatation of road from Bahawalnagar to Head Sulemanki Length: 75.00 Km District Bahawalnagar ,Communication & Works Department,Communication & Works Department,South Single,02/09/2024,30/06/2028,45,9,6781.31,0,1688,5093.31
A29938,Establishment of 200 Bedded Mother & Child Hospital in District Rajanpur,Infrastructure Development Authority Punjab (IDAP),"Federal Fund, Health & Population Department",South Single,15/03/2021,14/03/2024,35,51,9028.75,0,3867.03,5161.72
A36494,"Establishment of 200 Bedded Mother & Child Hospital at Ghalla Godam, Multan","Communication & Works Department, Nishtar Medical University & Allied Hospital, Multan",Specialized Healthcare and Medical Education Department,South Single,07/04/2021,30/06/2026,62,50,8116.78,0,2931.75,5185.03
A25616,Punjab Rozgar,Punjab Small Industries Corporation (PSIC),"Industries, Commerce & Investment",Punjab Based,01/04/2020,29/06/2026,74,62,10000,0,4790.25,5209.75
A04518,Construction of Dadhocha Dam,"Government of The Punjab, Irrigation","Government of Punjab, Planning & Development Board, Punjab",North Single,01/07/2017,18/07/2026,108,95,14454.26,0,9233.83,5220.43
A06350,Southern Punjab Poverty Alleviation Project (SPPAP)-IFAD Assisted,"Planning & Development Board, Punjab","Planning & Development Board, Punjab",Multiple Region,30/09/2011,31/03/2028,198,165,25243.13,22967,20017.55,5225.58
A67015,"Dualization of Road from Toba Tek Singh Interchange (M-4) to Rajana Interchange (M-3), Length=26.44 Km, District T.T.Singh",Communication & Works Department,Communication & Works Department,North Single,10/03/2025,30/06/2028,39,3,7770.95,0,2000,5770.95
A47202,National Health Support Program (NHSP) (TA Component),Health & Population Department,Health & Population Department,Punjab Based,01/07/2022,31/12/2026,53,35,6382.78,6383,534.24,5848.55
A59874,"Rehabilitation / Improvement of Roads, Streets (P.C.C.), Sewerage / Drainage and M&R of Street Lights, Ravi Zone MC Lahore",LG&CD Department,LG&CD Department,North Single,27/11/2024,30/06/2026,19,7,8350,0,2400,5950
A44493,"Strengthening of Punjab Tianjin University of Technology (PTUT), Lahore","Communication & Works Department, Punjab Tianjin University of Technology (PTUT)","Industries, Commerce & Investment",North Single,01/07/2022,29/06/2026,47,35,6281.65,0,293.96,5987.69
A55128,"Integrated Master Planning and Development / Expansion of Data Darbar Complex, Including Traffic Management","Auqaf & Religious Affairs, Communication & Works Department, LDA",Auqaf & Religious Affairs,North Single,31/01/2024,30/06/2027,40,16,6392.8,0,355.95,6036.85
A59195,South Punjab Non-Formal Education Project,Literacy & Non Formal Basic Education,Literacy & Non Formal Basic Education,South Single,01/11/2024,31/10/2027,35,7,7555.29,0,1486.44,6068.85
A55925,"Chief Minister’s ""Plant for Pakistan"" Initiative","Forestry, Transport","Forestry, Government of Punjab",Punjab Based,01/04/2024,30/06/2028,50,14,8000,0,1800,6200
A65099,"Construction of Additional Carriageway (Dehli - Multan Road) from Pull 114/16-R to Pir Murad Morr, Length=50.60KM, District Vehari",Communication & Works Department,Government of Punjab,South Single,31/10/2024,30/06/2028,43,7,8499.48,0,2200,6299.48
A58083,Chief Minister Punjab Kissan Card (2024-25 to 2025-26),Agriculture Department,Agriculture Department,Punjab Based,01/07/2024,30/06/2026,23,11,9000,0,2700,6300
A56176,Rehabilitation of Muridke Narowal road (Section Muridke to District Boundary) Sheikhupura. ,Communication & Works Department,Communication & Works Department,North Single,01/04/2024,30/06/2026,26,14,8698.86,0,2336,6362.86
A35995,Construction of Sorra Dam,Irrigation,Irrigation,South Single,01/07/2021,30/06/2026,59,47,8151.58,0,1392,6759.58
A46296,Construction of Arterial Main Secondary and Distribution Network in the Areas in the Eastern Part of City (Linked with AFD Funded Extension of Water Resources in Faisalabad City Phase-II Project),WASA Faisalabad,HUD&PHED,North Single,14/09/2023,30/06/2028,57,21,8453.61,0,1466.07,6987.54
A58099,"CM Lahore Development Program, Wahga Zone-II.",WASA Lahore,HUD&PHED,North Single,01/07/2024,30/06/2026,23,11,8997.48,0,1700,7297.48
A59882,"Rehabilitation / Improvement of Roads, Streets (P.C.C.), Sewerage / Drainage and M&R of Street Lights, Wahga Zone MC Lahore",LG&CD Department,LG&CD Department,North Single,01/07/2024,30/06/2026,23,11,7560,0,100,7460
A66250,Comprehensive Door-to-Door Socio-Economic Survey of Punjab For Establishing Punjab Socio-Economic Registry (PSER)-PC-II,"Planning & Development Board, Punjab","Planning & Development Board, Punjab",Punjab Based,19/02/2025,02/06/2026,15,4,7774.31,0,158,7616.31
A59157,Establishment of Enforcement Stations of PERA in Punjab (New Construction / Rehabilitation of existing government buildings),Communication & Works Department,S&GAD,Punjab Based,01/07/2024,30/06/2027,35,11,9209.43,0,1000,8209.43
A56174,Rehabilitation of Gujrat Sargodha road Km 27.90 to 122.20 (Dual Carriageway) Length 94.30 Km District M.B.Din,Communication & Works Department,Communication & Works Department,North Single,01/04/2024,30/06/2028,50,14,9802.06,0,1270,8532.06
A65957,Community Empowerment and Strengthening of Healthcare Access through Maryam Nawaz Health Clinic,Health & Population Department,Health & Population Department,Punjab Based,01/02/2025,30/06/2026,16,4,9031.29,0,343.7,8687.59
A58237,Chief Minister’s Program for Solarization of Agricultural Tubewells in Punjab (2024-25 to 2025-26),Energy Department,Agriculture Department,Punjab Based,01/07/2024,30/06/2026,23,11,8826.3,0,70,8756.3
A66061,CM Punjab Asaan Karobar Finance ,Punjab Small Industries Corporation (PSIC),"Industries, Commerce & Investment",Punjab Based,01/01/2025,30/06/2032,89,5,9500,0,550,8950
A59878,"Rehabilitation / Improvement of Roads, Streets (P.C.C.), Sewerage / Drainage and M&R of Street Lights, Allama Iqbal-I Zone MC Lahore",LG&CD Department,LG&CD Department,North Single,01/07/2024,30/06/2026,23,11,9000,0,11.55,8988.45
A66062,CM Punjab Asaan Karobar Card,Punjab Small Industries Corporation (PSIC),"Industries, Commerce & Investment",Punjab Based,01/01/2025,30/06/2030,65,5,9500,0,500,9000
A59746,"Rehabilitation / Improvement of Roads, Streets (P.C.C.), Sewerage / Drainage and M&R of Street Lights, Allama Iqbal-II Zone, MC Lahore",LG&CD Department,LG&CD Department,North Single,01/07/2024,29/06/2026,23,11,9522,0,100,9422
A32737,Punjab Human Capital Investment Project (PHCIP) ,"Primary and Secondary Healthcare Department, Punjab Social Protection Authority, School Education Department","Planning & Development Board, Punjab",Multiple Region,30/04/2020,30/06/2026,74,62,41664,41664,31811,9853
A58266,Apni Chhat Apna Ghar Program,Punjab Housing and Town Planning Agency (PHATA),HUD&PHED,Punjab Based,12/08/2024,31/12/2028,52,10,10000,0,75,9925
A45600,Construction of Rawalpindi Ring Road-R3(38.3 KM) Main Carriageway (MCW) from Banth (N-5) to Thalian (M-2),RDA,HUD&PHED,North Single,08/03/2022,29/06/2026,51,39,32997.05,0,22987.99,10009.07
A04605,Extension of Water Resources Faisalabad City Phase II (French Funded).,WASA Faisalabad,HUD&PHED,North Single,20/09/2021,30/09/2028,84,45,14636.93,11790,4254.5,10382.43
A55616,Rehabilitation of Multan-Vehari Road Length 93.5 Km.,Communication & Works Department,Communication & Works Department,South Single,01/09/2024,30/06/2028,45,9,13000,0,2000,11000
A07608,Construction of Jalalpur Irrigation Project and its System,Irrigation,Irrigation,North Single,01/07/2018,29/06/2026,95,83,32721.46,27972,21350.09,11371.37
